fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,irri_arroz,irri_cafe,irri_cana,irri_oc,irri_total,irri_arroz_risco_iminente,irri_arroz_risco_pos_deficit,irri_arroz_risco_total,irri_cafe_risco_iminente,irri_cafe_risco_pos_deficit,irri_cafe_risco_total,irri_cana_risco_iminente,irri_cana_risco_pos_deficit,irri_cana_risco_total,irri_oc_risco_iminente,irri_oc_risco_pos_deficit,irri_oc_risco_total,irri_total_risco_iminente,irri_total_risco_pos_deficit,irri_total_risco_total,cs_ish,area_scbc,area_otto,area_scbc,deman_agri,densidade,deman_agri_scbc,deman_agri_otto,perc_scbc,irri_risco_scbc,cs_ish_scbc,irri_scbc,ire_cs_irri_eco,,
Chave primária única da poção do setor cencitário,Código da respectiva ottobacia (BHO 2017) onde está a porção do setor censitário.,Código IBGE da porção do setor cencitário,Tipo de setor censitário (rural,Código do município,Nome do município,Unidade da Federação,"Situação do setor, se é urbana (1, 2 e 3) ou rural (demais valores)",disp_q95,dem_ret20,dem_acm,bal_perc,Produção irrigada por Municipio por cultura (Arroz) (1000 R$),Produção irrigada por Municipio por cultura (Café) (1000 R$),Produção irrigada por Municipio por cultura (Cana) (1000 R$),Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$),Valor da produção irrigada do município  (1000 R$),Produção irrigada por Municipio por cultura (Arroz) (1000 R$) em risco iminente,Produção irrigada por Municipio por cultura (Arroz) (1000 R$) em risco pós-déficit.,Produção irrigada por Municipio por cultura (Arroz) (1000 R$)  em risco total.,Produção irrigada por Municipio por cultura (Café) (1000 R$) em risco iminente,Produção irrigada por Municipio por cultura (Café) (1000 R$) em risco pós-déficit.,Produção irrigada por Municipio por cultura (Café) (1000 R$)  em risco total.,Produção irrigada por Municipio por cultura (Cana) (1000 R$) em risco iminente,Produção irrigada por Municipio por cultura (Cana) (1000 R$) em risco pós-déficit.,Produção irrigada por Municipio por cultura (Cana) (1000 R$)  em risco total.,Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$) em risco iminente,Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$) em risco pós-déficit.,Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$)  em risco total., Valor de produção irrigada (1000 R$) em risco iminente, Valor de produção irrigada (1000 R$) em risco pós-déficit., Valor de produção irrigada (1000 R$) em risco total.,Classe (1-5) do Índice de Segurança Hídrica do município associado à produção irrigada,Área total do setor censitário (km²),Área total da ottobacia (km²),Área do setor censitário interno à ottobacia (km²),Demanda agrícola por BHO (m³/s) (tabela balanços  2020),Densidade da demanda agricola na BHO (m³/s . km²) (tabela balanços 2020),Demanda agricola estimada da porção do setor cencitário interno à ottobacia (m³/s),Demanda agricola estimada para a ottobacia (m³/s),Percentual da demanda agricola na porção do setor cencitário que está na ottobacia em relação à demanda agricola total da ottobacia, Valor de produção irrigada (mil R$) em risco da porção do setor censitário interno a cada ottobacia.,Classe (1-5) do Índice de Segurança Hídrica associado à agricultura irrigada da porção do setor censitário interno a cada ottobacia., Valor de produção irrigada (mil R$) por setor cencitário,Classe (1-5) do Índice de Segurança Hídrica da ottobacia associado à sua demanda,,Produção por Ottobacia (R$)
1298,7761288,320035915000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,056","0,032","0,032","57,122","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.065,32","R$ 0,00","R$ 5.065,32","R$ 0,00","R$ 0,00","R$ 0,00","R$ 31,27","R$ 0,00","R$ 31,27","R$ 5.096,59","R$ 0,00","R$ 5.096,59",2,"37,816749","32,22984549","0,225","0,029231","0,0009069543945","0,0002040647388","0,02923204709","0,006981107001","R$ 35,58","0,014",,2,Baixo,1
1299,77612822,320035915000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,014","0,002","0,002","14,359","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 325,30","R$ 0,00","R$ 325,30","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2,01","R$ 0,00","R$ 2,01","R$ 327,30","R$ 0,00","R$ 327,30",3,"37,816749","8,162511184","0,412","0,001516","0,0001857271575","7,651958888E-05","0,001515905059","0,05047466285","R$ 16,52","0,151",,3,Médio,1
1300,77612851,320035915000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,179","0,003","0,133","74,698","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8.643,57","R$ 0,00","R$ 8.643,57","R$ 0,00","R$ 0,00","R$ 0,00","R$ 53,37","R$ 0,00","R$ 53,37","R$ 8.696,94","R$ 0,00","R$ 8.696,94",2,"37,816749","1,977409954","0,069","0,002662","0,001346205421","9,288817406E-05","0,002662794323","0,03489413","R$ 303,47","0,07",,"2,001",Baixo,1
1301,77614976,320035915000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,012","0,002","0,002","21,474","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 697,06","R$ 0,00","R$ 697,06","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4,30","R$ 0,00","R$ 4,30","R$ 701,37","R$ 0,00","R$ 701,37",3,"37,816749","8,873488432","0,025","0,002198","0,0002477041602","6,192604005E-06","0,002197879013","0,002817381258","R$ 1,98","0,008",,3,Médio,1
1302,77612833,320035915000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,235","0,006","0,146","62,09","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.994,74","R$ 0,00","R$ 5.994,74","R$ 0,00","R$ 0,00","R$ 0,00","R$ 37,01","R$ 0,00","R$ 37,01","R$ 6.031,75","R$ 0,00","R$ 6.031,75",2,"37,816749","19,32989022","17,714","0,004961","0,0002566491555","0,00454628314","0,004961028175","0,9164045837","R$ 5.527,52","1,833",,2,Baixo,1
1303,77612831,320035915000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,247",0,"0,146","59,32","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.437,09","R$ 0,00","R$ 5.437,09","R$ 0,00","R$ 0,00","R$ 0,00","R$ 33,57","R$ 0,00","R$ 33,57","R$ 5.470,65","R$ 0,00","R$ 5.470,65",2,"37,816749","0,5213157818","0,148",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
1304,77612832,320035915000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,011","0,001","0,001","4,653","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 46,47","R$ 0,00","R$ 46,47","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,29","R$ 0,00","R$ 0,29","R$ 46,76","R$ 0,00","R$ 46,76",3,"37,816749","6,349172389","0,206","0,000219","3,449268449E-05","7,105493005E-06","0,0002189595612","0,03244517354","R$ 1,52","0,097",,"2,999",Médio,1
1305,77614975,320035915000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,112","0,003","0,014","12,166","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 232,35","R$ 0,00","R$ 232,35","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1,43","R$ 0,00","R$ 1,43","R$ 233,79","R$ 0,00","R$ 233,79",3,"37,816749","16,03895715","0,02","0,00247","0,0001540000373","3,080000747E-06","0,002470006599","0,001246963865","R$ 0,29","0,004",,3,Médio,1
1306,77612823,320035915000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,032","0,011","0,011","34,221","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.812,36","R$ 0,00","R$ 1.812,36","R$ 0,00","R$ 0,00","R$ 0,00","R$ 11,19","R$ 0,00","R$ 11,19","R$ 1.823,55","R$ 0,00","R$ 1.823,55",3,"37,816749","18,01038827","17,286","0,009479","0,0005263073654","0,009097749118","0,009478795651","0,9597794196","R$ 1.750,21","2,879",,3,Médio,1
1307,77612852,320035915000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,01","0,01","0,01","101,372","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 15.288,90","R$ 650,59","R$ 15.893,02","R$ 0,00","R$ 0,00","R$ 0,00","R$ 94,39","R$ 4,02","R$ 98,12","R$ 15.383,29","R$ 654,61","R$ 15.991,14",1,"37,816749","5,523813199","0,188","0,009004","0,001630033398","0,0003064462789","0,009002674458","0,03403446011","R$ 544,25","0,034",,1,Mínimo,1
1308,77612941,320035920000001,Urbana,3200359,Alto Rio Novo,Espírito Santo,1,"0,064","0,005","0,03","47,835","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3.531,78","R$ 0,00","R$ 3.531,78","R$ 0,00","R$ 0,00","R$ 0,00","R$ 21,81","R$ 0,00","R$ 21,81","R$ 3.553,59","R$ 0,00","R$ 3.553,59",3,"0,2310292083","10,03585838","0,018","0,004674","0,0004657299678","8,38313942E-06","0,004674065957","0,001793568554","R$ 6,37","0,005",,3,Médio,1
1309,77612943,320035920000001,Urbana,3200359,Alto Rio Novo,Espírito Santo,1,"0,024","0,019","0,019","79,394","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.758,87","R$ 0,00","R$ 9.758,87","R$ 0,00","R$ 0,00","R$ 0,00","R$ 60,25","R$ 0,00","R$ 60,25","R$ 9.819,12","R$ 0,00","R$ 9.819,12",2,"0,2310292083","13,85677133","0,139","0,017578","0,001268549475","0,0001763283771","0,01757702153","0,01003119678","R$ 98,50","0,02",,2,Baixo,1
1310,77612942,320035920000001,Urbana,3200359,Alto Rio Novo,Espírito Santo,1,"0,022","0,006","0,006","26,991","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.115,30","R$ 0,00","R$ 1.115,30","R$ 0,00","R$ 0,00","R$ 0,00","R$ 6,89","R$ 0,00","R$ 6,89","R$ 1.122,19","R$ 0,00","R$ 1.122,19",3,"0,2310292083","12,51974023","0,074","0,005054","0,0004036824972","2,987250479E-05","0,005054104865","0,005910665768","R$ 6,63","0,018",,3,Médio,1
1311,77612941,320035920000002,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,064","0,005","0,03","47,835","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3.531,78","R$ 0,00","R$ 3.531,78","R$ 0,00","R$ 0,00","R$ 0,00","R$ 21,81","R$ 0,00","R$ 21,81","R$ 3.553,59","R$ 0,00","R$ 3.553,59",3,"26,62882412","10,03585838","4,603","0,004674","0,0004657299678","0,002143755042","0,004674065957","0,4586553363","R$ 1.629,87","1,376",,3,Médio,1
1312,77612943,320035920000002,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,024","0,019","0,019","79,394","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.758,87","R$ 0,00","R$ 9.758,87","R$ 0,00","R$ 0,00","R$ 0,00","R$ 60,25","R$ 0,00","R$ 60,25","R$ 9.819,12","R$ 0,00","R$ 9.819,12",2,"26,62882412","13,85677133","4,741","0,017578","0,001268549475","0,006014193062","0,01757702153","0,3421431939","R$ 3.359,55","0,684",,2,Baixo,1
1313,7761292,320035920000002,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,064","0,013","0,013","20,522","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 650,59","R$ 0,00","R$ 650,59","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4,02","R$ 0,00","R$ 4,02","R$ 654,61","R$ 0,00","R$ 654,61",3,"26,62882412","36,29465894","3,4","0,011228","0,0003093568125","0,001051813162","0,01122779615","0,09367769527","R$ 61,32","0,281",,3,Médio,1
1314,77612942,320035920000002,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,022","0,006","0,006","26,991","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.115,30","R$ 0,00","R$ 1.115,30","R$ 0,00","R$ 0,00","R$ 0,00","R$ 6,89","R$ 0,00","R$ 6,89","R$ 1.122,19","R$ 0,00","R$ 1.122,19",3,"26,62882412","12,51974023","12,15","0,005054","0,0004036824972","0,004904742341","0,005054104865","0,97046742","R$ 1.089,04","2,911",,3,Médio,1
1315,77612935,320035920000002,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,316","0,004","0,167","52,966","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.368,26","R$ 0,00","R$ 4.368,26","R$ 0,00","R$ 0,00","R$ 0,00","R$ 26,97","R$ 0,00","R$ 26,97","R$ 4.395,23","R$ 0,00","R$ 4.395,23",3,"26,62882412","12,88368844","1,718","0,003024","0,0002347153934","0,0004032410458","0,003023838413","0,1333469067","R$ 586,09","0,4",,3,Médio,1
1316,77612961,320035920000002,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,087","0,007","0,061","69,519","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 7.481,80","R$ 0,00","R$ 7.481,80","R$ 0,00","R$ 0,00","R$ 0,00","R$ 46,19","R$ 0,00","R$ 46,19","R$ 7.527,99","R$ 0,00","R$ 7.527,99",2,"26,62882412","11,03270723","0,017","0,006168","0,0005590649576","9,50410428E-06","0,006167045548","0,001540872938","R$ 11,60","0,003",,2,Baixo,1
1317,77612964,320035920000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,012","0,026","0,026","213,442","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 7.249,45","R$ 24.676,00","R$ 31.971,92","R$ 0,00","R$ 0,00","R$ 0,00","R$ 44,76","R$ 152,35","R$ 197,40","R$ 7.294,21","R$ 24.828,35","R$ 32.169,32",1,"27,39010169","6,959863241","3,535","0,024364","0,003500643498","0,01237477476","0,02436447874","0,507912279","R$ 16.339,19","0,508",,1,Mínimo,1
1318,77612943,320035920000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,024","0,019","0,019","79,394","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.758,87","R$ 0,00","R$ 9.758,87","R$ 0,00","R$ 0,00","R$ 0,00","R$ 60,25","R$ 0,00","R$ 60,25","R$ 9.819,12","R$ 0,00","R$ 9.819,12",2,"27,39010169","13,85677133","8,43","0,017578","0,001268549475","0,01069387208","0,01757702153","0,6083668265","R$ 5.973,63","1,217",,2,Baixo,1
1319,77612942,320035920000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,022","0,006","0,006","26,991","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.115,30","R$ 0,00","R$ 1.115,30","R$ 0,00","R$ 0,00","R$ 0,00","R$ 6,89","R$ 0,00","R$ 6,89","R$ 1.122,19","R$ 0,00","R$ 1.122,19",3,"27,39010169","12,51974023","0,104","0,005054","0,0004036824972","4,198297971E-05","0,005054104865","0,00830688162","R$ 9,32","0,025",,3,Médio,1
1320,7763468,320035920000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,024","0,043","0,043","178,865","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8.643,57","R$ 20.493,63","R$ 29.137,20","R$ 0,00","R$ 0,00","R$ 0,00","R$ 53,37","R$ 126,53","R$ 179,90","R$ 8.696,94","R$ 20.620,16","R$ 29.317,10",1,"27,39010169","22,2561891","0,161","0,03993","0,001794107689","0,000288851338","0,03993145484","0,00723394285","R$ 212,08","0,007",,1,Mínimo,1
1321,77612962,320035920000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,031","0,039","0,039","127,353","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12.175,35","R$ 9.991,23","R$ 22.166,58","R$ 0,00","R$ 0,00","R$ 0,00","R$ 75,17","R$ 61,69","R$ 136,86","R$ 12.250,52","R$ 10.052,91","R$ 22.303,44",1,"27,39010169","17,4226516","13,372","0,036099","0,002071957864","0,02770622056","0,03609972187","0,7675065947","R$ 17.118,03","0,768",,1,Mínimo,1
1322,77634692,320035920000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,008","0,016","0,016","219,834","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 7.063,56","R$ 25.326,59","R$ 32.390,16","R$ 0,00","R$ 0,00","R$ 0,00","R$ 43,61","R$ 156,37","R$ 199,98","R$ 7.107,17","R$ 25.482,96","R$ 32.590,14",1,"27,39010169","6,936521155","0,193","0,015296","0,002205139963","0,0004255920128","0,01529485078","0,0278237456","R$ 906,78","0,028",,1,Mínimo,1
1323,77612963,320035920000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,038","0,006","0,023","62,016","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.948,26","R$ 0,00","R$ 5.948,26","R$ 0,00","R$ 0,00","R$ 0,00","R$ 36,73","R$ 0,00","R$ 36,73","R$ 5.984,99","R$ 0,00","R$ 5.984,99",2,"27,39010169","7,206652847","0,222","0,00541","0,0007506952416","0,0001666543436","0,005410260606","0,03080486943","R$ 184,37","0,062",,2,Baixo,1
1324,77612961,320035920000003,Rural,3200359,Alto Rio Novo,Espírito Santo,8,"0,087","0,007","0,061","69,519","R$ 0,00","R$ 46.470,81","R$ 0,00","R$ 286,91","R$ 46.757,73","R$ 0,00","R$ 0,00","R$ 0,00","R$ 7.481,80","R$ 0,00","R$ 7.481,80","R$ 0,00","R$ 0,00","R$ 0,00","R$ 46,19","R$ 0,00","R$ 46,19","R$ 7.527,99","R$ 0,00","R$ 7.527,99",2,"27,39010169","11,03270723","1,374","0,006168","0,0005590649576","0,0007681552518","0,006167045548","0,1245387892","R$ 937,53","0,249",,2,Baixo,1
1325,7775611,320040905000002,Urbana,3200409,Anchieta,Espírito Santo,1,"6,867","0,001","0,257","3,737","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"0,2093764576","3,315745396","0,113","0,000609","0,0001836691082","2,075460923E-05","0,0006086794247","0,03407981811","R$ 0,00","0,17",,"4,997",Máximo,1
1326,7775611,320040905000003,Urbana,3200409,Anchieta,Espírito Santo,1,"6,867","0,001","0,257","3,737","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"0,1675500267","3,315745396","0,003","0,000609","0,0001836691082","5,510073247E-07","0,0006086794247","0,0009047739322","R$ 0,00","0,005",,"4,997",Máximo,1
1327,777558,320040905000009,Urbana,3200409,Anchieta,Espírito Santo,1,"0,083","0,001","0,001","0,913","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"0,4647520165","13,1520235","0,025",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
1328,7775611,320040905000013,Urbana,3200409,Anchieta,Espírito Santo,1,"6,867","0,001","0,257","3,737","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"0,2336918034","3,315745396","0,04","0,000609","0,0001836691082","7,346764329E-06","0,0006086794247","0,01206365243","R$ 0,00","0,06",,"4,997",Máximo,1
1329,7775611,320040905000014,Urbana,3200409,Anchieta,Espírito Santo,1,"6,867","0,001","0,257","3,737","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"0,2024700706","3,315745396","0,156","0,000609","0,0001836691082","2,865238088E-05","0,0006086794247","0,04704824447","R$ 0,00","0,235",,"4,997",Máximo,1
1330,777572,320040905000016,Urbana,3200409,Anchieta,Espírito Santo,1,"0,147","0,034","0,034","22,827","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 70,40","R$ 0,00","R$ 70,40","R$ 0,00","R$ 0,00","R$ 0,00","R$ 134,27","R$ 0,00","R$ 134,27","R$ 204,67","R$ 0,00","R$ 204,67",3,"0,1983373915","23,28210666","0,098","0,025871","0,001111196696","0,0001088972762","0,02586754789","0,004209241089","R$ 0,86","0,013",,3,Médio,1
1331,777572,320040905000019,Urbana,3200409,Anchieta,Espírito Santo,1,"0,147","0,034","0,034","22,827","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 70,40","R$ 0,00","R$ 70,40","R$ 0,00","R$ 0,00","R$ 0,00","R$ 134,27","R$ 0,00","R$ 134,27","R$ 204,67","R$ 0,00","R$ 204,67",3,"0,06367677818","23,28210666","0,017","0,025871","0,001111196696","1,889034383E-05","0,02586754789","0,0007301744747","R$ 0,15","0,002",,3,Médio,1
1332,7775612,320040905000020,Urbana,3200409,Anchieta,Espírito Santo,1,"0,113","0,004","0,004","3,094","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"0,6871143434","17,91949872","0,024","0,002472","0,0001379502875","3,3108069E-06","0,002472069152","0,001339323179","R$ 0,00","0,007",,5,Máximo,1
1333,77756325,320040905000024,Rural,3200409,Anchieta,Espírito Santo,8,"0,24","0,048","0,049","20,488","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 57,98","R$ 0,00","R$ 57,98","R$ 0,00","R$ 0,00","R$ 0,00","R$ 110,57","R$ 0,00","R$ 110,57","R$ 168,55","R$ 0,00","R$ 168,55",3,"19,47741997","24,04222209","3,745","0,007409","0,0003081661908","0,001154082385","0,007409239726","0,1557676319","R$ 26,26","0,467",,3,Médio,1
1334,77756324,320040905000024,Rural,3200409,Anchieta,Espírito Santo,8,"0,042","0,001","0,001","1,339","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"19,47741997","6,632692829","3,81",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
1335,77756323,320040905000024,Rural,3200409,Anchieta,Espírito Santo,8,"0,333","0,001","0,051","15,306","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 33,13","R$ 0,00","R$ 33,13","R$ 0,00","R$ 0,00","R$ 0,00","R$ 63,18","R$ 0,00","R$ 63,18","R$ 96,32","R$ 0,00","R$ 96,32",3,"19,47741997","8,04672398","6,585","0,000503","6,250991102E-05","0,0004116277641","0,000503017254","0,8183454554","R$ 78,82","2,455",,3,Médio,1
1336,7775633,320040905000024,Rural,3200409,Anchieta,Espírito Santo,8,"5,438",0,"0,18","3,318","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"19,47741997","3,245851131","1,79",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
1337,7775634,320040905000024,Rural,3200409,Anchieta,Espírito Santo,8,"0,119","0,002","0,002","1,266","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",5,"19,47741997","18,84555299","1,139",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
1338,77756321,320040905000024,Rural,3200409,Anchieta,Espírito Santo,8,"0,417",0,"0,053","12,607","R$ 0,00","R$ 4.141,41","R$ 0,00","R$ 7.898,11","R$ 12.039,52","R$ 0,00","R$ 0,00","R$ 0,00","R$ 20,71","R$ 0,00","R$ 20,71","R$ 0,00","R$ 0,00","R$ 0,00","R$ 39,49","R$ 0,00","R$ 39,49","R$ 60,20","R$ 0,00","R$ 60,20",3,"19,47741997","3,782422293","1,741",0,0,0,0,0,"R$ 0,00",0,,0,#N/A,1
